Band/Network (1/3);Lw [dB];;Ieq [dB];;Leq [dB];Ld [dB];FpI [dB];F+/- [dB];Overloaded;Band excluded;Dynamic capability too low;Repeatability;Averaging time is too short;Negligible repeatability;High FpI;Under-range
A;(-);76.2;(-);76.2;82.8;;6.5;0.0;;;1;1;;;1;
C;(-);78.5;(-);78.5;85.3;;6.9;0.0;;;1;1;;;1;
Z;(-);78.5;(-);78.5;85.4;;6.9;0.0;;;1;1;;;1;
20 Hz;(-);46.0;(-);46.0;37.0;-1.0;-9.0;0.0;;;;;;;;
25 Hz;;39.1;;39.1;35.6;5.0;-3.5;0.0;;;;;;;;
31.5 Hz;;39.1;;39.1;44.3;6.0;5.2;0.0;;;;;;;;
40 Hz;(-);29.1;(-);29.1;47.8;6.2;18.6;0.0;;;1;;;;1;
50 Hz;;38.8;;38.8;50.1;8.0;11.3;0.0;;;1;1;;;1;
63 Hz;(-);47.5;(-);47.5;56.9;9.0;9.4;0.0;;;1;;;;;
80 Hz;(-);52.7;(-);52.7;63.8;10.0;11.1;0.0;;;1;;;;1;
100 Hz;(-);64.1;(-);64.1;70.8;11.0;6.7;0.0;;;;;;;;
125 Hz;(-);60.7;(-);60.7;69.4;12.0;8.8;0.0;;;;;;;;
160 Hz;(-);63.1;(-);63.1;72.2;13.0;9.1;0.0;;;;;;;;
200 Hz;(-);66.4;(-);66.4;72.0;14.0;5.6;0.0;;;;;;;;
250 Hz;(-);66.8;(-);66.8;73.8;15.0;7.0;0.0;;;;;;;;
315 Hz;(-);67.8;(-);67.8;74.3;15.0;6.5;0.0;;;;;;;;
400 Hz;(-);69.0;(-);69.0;75.5;15.0;6.5;0.0;;;;1;;;;
500 Hz;(-);69.8;(-);69.8;77.0;15.0;7.3;0.0;;;;;;;;
630 Hz;(-);69.2;(-);69.2;76.9;15.0;7.7;0.0;;;;;;;;
800 Hz;(-);67.9;(-);67.9;75.5;15.0;7.6;0.0;;;;;;;;
1 kHz;(-);64.6;(-);64.6;72.2;15.0;7.6;0.0;;;;;;;;
1.25 kHz;(-);64.6;(-);64.6;71.0;15.0;6.4;0.0;;;;;;;;
1.6 kHz;(-);64.7;(-);64.7;70.3;15.0;5.6;0.0;;;;;;;;
2 kHz;(-);64.2;(-);64.2;69.9;15.0;5.7;0.0;;;;;;;;
2.5 kHz;(-);64.5;(-);64.5;69.0;15.0;4.5;0.0;;;;;;;;
3.15 kHz;(-);63.0;(-);63.0;67.6;14.0;4.7;0.0;;;;;;;;
4 kHz;(-);60.0;(-);60.0;64.8;13.0;4.8;0.0;;;;;;;;
5 kHz;(-);57.1;(-);57.1;61.3;12.0;4.3;0.0;;;;;;;;
6.3 kHz;(-);56.3;(-);56.3;59.8;11.0;3.5;0.0;;;;;;;;
8 kHz;(-);53.3;(-);53.3;56.6;10.0;3.3;0.0;;;;;;;;
10 kHz;(-);55.2;(-);55.2;57.7;4.0;2.5;0.0;;;;;;;;
12.5 kHz;(-);47.7;(-);47.7;50.6;;2.8;0.0;;;1;;;;;
16 kHz;(-);44.4;(-);44.4;47.5;;3.1;0.0;;;1;;;;;
20 kHz;(-);37.1;(-);37.1;41.4;;4.3;0.0;;;1;;;;;
;;;;;;;;;;;;;;;;
Calculation area;1,00 m²;;;;;;;;;;;;;;;
Specified area;1,00 m²;;;;;;;;;;;;;;;
