Band/Network (1/3);Lw [dB];;Ieq [dB];;Leq [dB];Ld [dB];FpI [dB];F+/- [dB];Overloaded;Band excluded;Dynamic capability too low;Repeatability;Averaging time is too short;Negligible repeatability;High FpI;Under-range
A;;77.6;;77.6;82.7;;5.2;0.0;;;;1;;;;
C;;80.1;;80.1;85.3;;5.2;0.0;;;;1;;;;
Z;;80.2;;80.2;85.3;;5.1;0.0;;;;1;;;;
20 Hz;;75.5;;75.5;52.9;-1.0;-22.6;0.0;;;;;;;;
25 Hz;;74.0;;74.0;51.6;5.0;-22.4;0.0;;;;;;;;
31.5 Hz;;68.9;;68.9;48.7;6.0;-20.2;0.0;;;;;;;;
40 Hz;;67.4;;67.4;50.0;6.2;-17.4;0.0;;;;;;;;
50 Hz;;64.5;;64.5;51.0;8.0;-13.5;0.0;;;;;;;;
63 Hz;;59.9;;59.9;56.4;9.0;-3.5;0.0;;;;1;;;;
80 Hz;;55.4;;55.4;62.6;10.0;7.3;0.0;;;;1;;;;
100 Hz;;59.1;;59.1;67.5;11.0;8.4;0.0;;;;1;;;;
125 Hz;;63.5;;63.5;69.0;12.0;5.5;0.0;;;;;;;;
160 Hz;;68.4;;68.4;73.1;13.0;4.7;0.0;;;;;;;;
200 Hz;;67.6;;67.6;72.4;14.0;4.8;0.0;;;;;;;;
250 Hz;;69.0;;69.0;73.8;15.0;4.9;0.0;;;;1;;;;
315 Hz;;68.8;;68.8;74.1;15.0;5.3;0.0;;;;;;;;
400 Hz;;69.8;;69.8;75.3;15.0;5.4;0.0;;;;1;;;;
500 Hz;;71.2;;71.2;76.9;15.0;5.7;0.0;;;;1;;;;
630 Hz;;70.7;;70.7;76.6;15.0;5.9;0.0;;;;;;;;
800 Hz;;71.4;;71.4;76.4;15.0;4.9;0.0;;;;;;;;
1 kHz;;67.4;;67.4;72.6;15.0;5.2;0.0;;;;;;;;
1.25 kHz;;65.2;;65.2;70.7;15.0;5.6;0.0;;;;;;;;
1.6 kHz;;63.7;;63.7;69.2;15.0;5.5;0.0;;;;;;;;
2 kHz;;65.2;;65.2;69.8;15.0;4.6;0.0;;;;;;;;
2.5 kHz;;64.0;;64.0;68.4;15.0;4.3;0.0;;;;;;;;
3.15 kHz;;62.3;;62.3;66.8;14.0;4.5;0.0;;;;;;;;
4 kHz;;60.9;;60.9;64.8;13.0;3.9;0.0;;;;;;;;
5 kHz;;58.2;;58.2;61.7;12.0;3.5;0.0;;;;;;;;
6.3 kHz;;56.5;;56.5;59.5;11.0;3.1;0.0;;;;;;;;
8 kHz;;53.7;;53.7;56.2;10.0;2.5;0.0;;;;;;;;
10 kHz;;55.4;;55.4;57.4;4.0;2.0;0.0;;;;;;;;
12.5 kHz;;47.8;;47.8;49.4;;1.6;0.0;;;1;;;;;
16 kHz;;43.9;;43.9;45.9;;2.0;0.0;;;1;;;;;
20 kHz;;30.8;;30.8;38.4;;7.6;0.0;;;1;;;;;
;;;;;;;;;;;;;;;;
Calculation area;1,00 m²;;;;;;;;;;;;;;;
Specified area;1,00 m²;;;;;;;;;;;;;;;
