Band/Network (1/3);Lw [dB];;Ieq [dB];;Leq [dB];Ld [dB];FpI [dB];F+/- [dB];Overloaded;Band excluded;Dynamic capability too low;Repeatability;Averaging time is too short;Negligible repeatability;High FpI;Under-range
A;;77.4;;77.4;82.7;;5.3;0.0;;;1;;;;1;
C;;79.4;;79.4;85.1;;5.7;0.0;;;1;;;;1;
Z;;79.5;;79.5;85.1;;5.6;0.0;;;1;;;;1;
20 Hz;;43.3;;43.3;36.3;-1.0;-7.0;0.0;;;;;;;;
25 Hz;;34.6;;34.6;36.9;5.0;2.3;0.0;;;;;;;;
31.5 Hz;(-);34.2;(-);34.2;44.2;6.0;10.0;0.0;;;1;;;;1;
40 Hz;;36.7;;36.7;47.4;6.2;10.7;0.0;;;1;;;;1;
50 Hz;;39.7;;39.7;49.8;8.0;10.1;0.0;;;1;;;;1;
63 Hz;;47.5;;47.5;55.2;9.0;7.7;0.0;;;;;;;;
80 Hz;;55.0;;55.0;63.4;10.0;8.4;0.0;;;;;;;;
100 Hz;;60.5;;60.5;65.9;11.0;5.4;0.0;;;;;;;;
125 Hz;;60.2;;60.2;67.7;12.0;7.5;0.0;;;;;;;;
160 Hz;;65.6;;65.6;72.2;13.0;6.6;0.0;;;;;;;;
200 Hz;;65.7;;65.7;71.7;14.0;6.0;0.0;;;;;;;;
250 Hz;;67.1;;67.1;73.4;15.0;6.3;0.0;;;;;;;;
315 Hz;;68.4;;68.4;74.0;15.0;5.6;0.0;;;;;;;;
400 Hz;;69.3;;69.3;75.0;15.0;5.7;0.0;;;;;;;;
500 Hz;;70.6;;70.6;76.8;15.0;6.2;0.0;;;;;;;;
630 Hz;;71.9;;71.9;77.3;15.0;5.4;0.0;;;;;;;;
800 Hz;;69.8;;69.8;75.5;15.0;5.7;0.0;;;;;;;;
1 kHz;;66.8;;66.8;72.4;15.0;5.6;0.0;;;;;;;;
1.25 kHz;;65.1;;65.1;70.7;15.0;5.6;0.0;;;;;;;;
1.6 kHz;;63.9;;63.9;69.3;15.0;5.3;0.0;;;;;;;;
2 kHz;;64.2;;64.2;69.2;15.0;5.0;0.0;;;;;;;;
2.5 kHz;;63.5;;63.5;68.0;15.0;4.4;0.0;;;;;;;;
3.15 kHz;;64.8;;64.8;68.2;14.0;3.4;0.0;;;;;;;;
4 kHz;;62.5;;62.5;65.8;13.0;3.3;0.0;;;;;;;;
5 kHz;;60.0;;60.0;62.6;12.0;2.6;0.0;;;;;;;;
6.3 kHz;;57.8;;57.8;60.3;11.0;2.5;0.0;;;;;;;;
8 kHz;;55.6;;55.6;57.5;10.0;1.9;0.0;;;;;;;;
10 kHz;;57.8;;57.8;59.3;4.0;1.5;0.0;;;;;;;;
12.5 kHz;;50.4;;50.4;51.5;;1.1;0.0;;;1;;;;;
16 kHz;;45.4;;45.4;47.2;;1.8;0.0;;;1;;;;;
20 kHz;;28.5;;28.5;40.2;;11.7;0.0;;;1;;;;1;
;;;;;;;;;;;;;;;;
Calculation area;1,00 m²;;;;;;;;;;;;;;;
Specified area;1,00 m²;;;;;;;;;;;;;;;
