Band/Network (1/3);Lw [dB];;Ieq [dB];;Leq [dB];Ld [dB];FpI [dB];F+/- [dB];Overloaded;Band excluded;Dynamic capability too low;Repeatability;Averaging time is too short;Negligible repeatability;High FpI;Under-range
A;;78.4;;78.4;83.3;;4.9;0.0;;;;1;;;1;
C;;80.4;;80.4;85.7;;5.3;0.0;;;;1;;;1;
Z;;80.5;;80.5;85.8;;5.3;0.0;;;;1;;;1;
20 Hz;;47.2;;47.2;38.7;-1.0;-8.5;0.0;;;;;;;;
25 Hz;(-);37.0;(-);37.0;39.2;5.0;2.2;0.0;;;;;;;;
31.5 Hz;(-);29.3;(-);29.3;44.9;6.0;15.7;0.0;;;1;;;;1;
40 Hz;(-);40.2;(-);40.2;48.2;6.2;8.0;0.0;;;1;;;;;
50 Hz;;42.0;;42.0;49.4;8.0;7.4;0.0;;;;1;;;;
63 Hz;;47.9;;47.9;54.4;9.0;6.4;0.0;;;;;;;;
80 Hz;;54.0;;54.0;63.6;10.0;9.6;0.0;;;;;;;;
100 Hz;;59.0;;59.0;69.7;11.0;10.7;0.0;;;;;;;1;
125 Hz;;63.0;;63.0;68.3;12.0;5.3;0.0;;;;;;;;
160 Hz;;66.8;;66.8;73.0;13.0;6.2;0.0;;;;;;;;
200 Hz;;66.3;;66.3;71.5;14.0;5.2;0.0;;;;1;;;;
250 Hz;;69.0;;69.0;74.4;15.0;5.5;0.0;;;;;;;;
315 Hz;;69.1;;69.1;74.3;15.0;5.2;0.0;;;;;;;;
400 Hz;;69.4;;69.4;75.1;15.0;5.7;0.0;;;;1;;;;
500 Hz;;71.5;;71.5;77.2;15.0;5.7;0.0;;;;1;;;;
630 Hz;;73.1;;73.1;78.1;15.0;5.0;0.0;;;;1;;;;
800 Hz;;70.8;;70.8;76.2;15.0;5.4;0.0;;;;;;;;
1 kHz;;68.6;;68.6;73.4;15.0;4.8;0.0;;;;;;;;
1.25 kHz;;67.4;;67.4;71.9;15.0;4.5;0.0;;;;;;;;
1.6 kHz;;65.1;;65.1;70.0;15.0;4.9;0.0;;;;;;;;
2 kHz;;64.5;;64.5;69.5;15.0;5.0;0.0;;;;;;;;
2.5 kHz;;64.3;;64.3;68.5;15.0;4.2;0.0;;;;;;;;
3.15 kHz;;65.0;;65.0;68.5;14.0;3.6;0.0;;;;;;;;
4 kHz;;62.3;;62.3;65.9;13.0;3.6;0.0;;;;;;;;
5 kHz;;59.1;;59.1;62.6;12.0;3.6;0.0;;;;;;;;
6.3 kHz;;57.7;;57.7;60.8;11.0;3.1;0.0;;;;;;;;
8 kHz;;54.4;;54.4;57.0;10.0;2.6;0.0;;;;;;;;
10 kHz;;58.5;;58.5;60.8;4.0;2.3;0.0;;;;;;;;
12.5 kHz;;49.3;;49.3;51.2;;1.9;0.0;;;1;;;;;
16 kHz;;46.0;;46.0;48.3;;2.3;0.0;;;1;;;;;
20 kHz;;36.5;;36.5;40.1;;3.6;0.0;;;1;;;;;
;;;;;;;;;;;;;;;;
Calculation area;1,00 m²;;;;;;;;;;;;;;;
Specified area;1,00 m²;;;;;;;;;;;;;;;
