Name;Start Time;Duration;Unit;LAeq;LAFmax;LAFmin;LAE;LApeak;LCeq;LCFmax;LCFmin;LCE;LCpeak;LZeq;LZFmax;LZFmin;LZE;LZpeak;Lfeq 16 Hz;Lfeq 31.5 Hz;Lfeq 63 Hz;Lfeq 125 Hz;Lfeq 250 Hz;Lfeq 500 Hz;Lfeq 1 kHz;Lfeq 2 kHz;Lfeq 4 kHz;Lfeq 8 kHz;Lfeq 16 kHz;LfFmax 16 Hz;LfFmax 31.5 Hz;LfFmax 63 Hz;LfFmax 125 Hz;LfFmax 250 Hz;LfFmax 500 Hz;LfFmax 1 kHz;LfFmax 2 kHz;LfFmax 4 kHz;LfFmax 8 kHz;LfFmax 16 kHz;LfFmin 16 Hz;LfFmin 31.5 Hz;LfFmin 63 Hz;LfFmin 125 Hz;LfFmin 250 Hz;LfFmin 500 Hz;LfFmin 1 kHz;LfFmin 2 kHz;LfFmin 4 kHz;LfFmin 8 kHz;LfFmin 16 kHz;LfE 16 Hz;LfE 31.5 Hz;LfE 63 Hz;LfE 125 Hz;LfE 250 Hz;LfE 500 Hz;LfE 1 kHz;LfE 2 kHz;LfE 4 kHz;LfE 8 kHz;LfE 16 kHz
Nor15030749-2022-02-03 16-00-03;03.02.2022 16:00:03;00:00:10.000;dB;80.645;81.325;79.88;90.645;94.84;82.905;83.625;82.045;92.905;96.075;82.95;83.66;82.105;92.95;96.14;49.43;44.82;57.25;71.465;75.455;78.995;76.36;71.59;67.87;60.04;53.61;55.765;49.635;59.885;74.43;77.535;80.18;78.035;72.195;68.54;61.32;54.345;36.755;39.97;54.38;68.55;73.41;77.59;74.97;71.01;67.21;58.965;53.035;59.43;54.82;67.25;81.465;85.455;88.995;86.365;81.59;77.87;70.04;63.61
Nor15030749-2022-02-03 16-01-01;03.02.2022 16:01:01;00:00:10.000;dB;85.495;85.955;84.875;95.495;98.64;86.325;86.845;85.725;96.325;99.485;86.535;87.03;85.915;96.535;99.53;63.58;65.01;73.41;75.225;77.275;77.94;80.74;80.23;75.925;68.355;59.15;70.765;68.28;76.805;78.045;79.005;79.72;81.61;80.95;76.445;68.88;59.7;53.8;60.08;69.52;72.535;75.46;76.71;79.445;79.47;75.255;67.865;58.605;73.58;75.01;83.41;85.225;87.275;87.94;90.745;90.23;85.925;78.355;69.15
Nor15030749-2022-02-03 16-03-50;03.02.2022 16:03:50;00:00:10.000;dB;32.845;33.58;32.175;42.845;46.715;45.53;49.16;41.935;55.53;58.165;51.725;59.265;45.75;61.725;64.51;47.48;44.05;34.765;36.38;36.23;24.205;28.745;24.275;17.46;14.37;15.305;53.18;49.03;37.565;38.48;39.355;25.425;30.18;25.075;17.895;14.765;15.625;34.31;32.98;31.055;33.72;33.93;23.24;27.45;23.475;16.92;14.02;14.94;57.48;54.05;44.765;46.38;46.23;34.205;38.745;34.275;27.465;24.37;25.305
Nor15030749-2022-02-03 16-09-16;03.02.2022 16:09:17;00:00:10.000;dB;46.405;54.17;32.185;56.405;72.95;54.925;60.855;45.895;64.93;75.76;57.205;62.325;49.985;67.205;76.51;51.665;50.405;45.23;46.79;50.09;45.04;38.78;36.325;34.675;28.68;24.04;55.565;58.895;53.38;54;57.45;55.23;45.68;45.325;44.83;40.565;36.715;42.375;42.25;34.43;34.895;33.635;23.155;27.995;23.865;17.22;14.115;15.235;61.665;60.405;55.23;56.79;60.09;55.04;48.785;46.33;44.675;38.68;34.045
Nor15030749-2022-02-03 16-10-22;03.02.2022 16:10:22;00:00:10.000;dB;33.035;33.835;32.275;43.035;45.875;48.375;55.21;44.215;58.375;59.665;53.65;61.205;47.91;63.65;66.43;51.86;46.665;36.77;38.085;36.285;24.57;28.77;24.55;17.435;14.41;15.42;60.34;52.84;40.635;40.765;37.835;26.08;30.29;25.42;18.12;14.76;15.665;40.475;39.905;32.67;34.715;33.805;23.555;27.56;23.565;16.895;14.1;14.97;61.86;56.665;46.77;48.085;46.285;34.57;38.77;34.55;27.435;24.41;25.42
Nor15030749-2022-02-03 16-11-33;03.02.2022 16:11:33;00:00:10.000;dB;80.94;81.605;80.13;90.94;93.595;83.365;84.17;82.435;93.365;96.295;83.4;84.195;82.475;93.4;96.235;54.855;50.27;58.595;71.08;76.205;79.66;76.765;71.395;67.365;58.04;48.71;63.59;57.695;62.25;73.875;78.38;80.94;78.085;72.155;67.95;59.425;50.005;40.775;44.48;54.7;67.385;74.525;78.03;75.4;70.805;66.785;57.17;47.89;64.855;60.27;68.595;81.08;86.205;89.66;86.765;81.395;77.365;68.04;58.71
Nor15030749-2022-02-03 16-12-40;03.02.2022 16:12:40;00:00:10.000;dB;85.825;86.365;85.385;95.825;99.32;86.945;87.695;86.44;96.945;100.07;87.23;88.005;86.725;97.23;100.15;67.75;72.06;74.165;78.085;77.24;78.215;81.225;80.565;75.895;68.79;59.265;73.59;76.33;77.395;81.885;79.13;79.575;82.155;81.38;76.425;69.29;59.8;57.85;66.42;70.43;75.4;74.765;76.835;80.34;79.875;75.405;68.365;58.715;77.75;82.06;84.165;88.09;87.24;88.215;91.225;90.57;85.895;78.795;69.27
Nor15030749-2022-02-03 16-18-25;03.02.2022 16:18:25;00:00:10.000;dB;33.525;34.445;32.415;43.525;46.685;51.32;56.435;42.425;61.32;61.68;57.295;62.515;46.47;67.295;67.955;56.445;47.965;35.145;36.605;37.865;23.67;29.185;24.775;17.74;14.65;15.845;61.97;53.025;38.425;39.89;40.065;24.67;30.61;25.46;18.445;14.95;16.305;40.825;36.44;31.58;33.845;35.865;22.705;27.65;24.02;17.2;14.435;15.4;66.445;57.965;45.145;46.605;47.865;33.67;39.185;34.775;27.74;24.65;25.845
Nor15030749-2022-02-03 16-19-25;03.02.2022 16:19:25;00:00:10.000;dB;80.165;81.3;79.37;90.165;93.525;82.54;83.66;81.67;92.54;95.97;82.59;83.68;81.725;92.59;96.4;52.535;48.525;60.705;71.21;75.115;78.685;75.965;71.015;67.21;58.265;48.77;61.635;53.31;63.18;73.29;77;80.56;77.36;71.755;67.715;59.52;50.03;39.095;40.725;58.455;69.115;73.275;76.98;75.15;70.29;66.55;57.115;47.67;62.535;58.525;70.705;81.21;85.115;88.685;85.97;81.015;77.21;68.265;58.77
Nor15030749-2022-02-03 16-20-44;03.02.2022 16:20:44;00:00:10.000;dB;85.28;85.72;84.885;95.28;98.395;86.01;86.51;85.49;96.01;99.395;86.225;86.745;85.715;96.225;99.765;65.695;64.16;73.375;73.825;76.92;77.475;80.555;80.135;75.605;67.155;55.23;72.255;67.56;77.75;75.59;78.69;78.555;81.385;80.885;75.995;67.625;55.69;51.87;60.12;69.385;71.12;75.25;76.23;79.865;79.505;75.2;66.7;54.725;75.695;74.16;83.38;83.825;86.92;87.475;90.555;90.135;85.605;77.155;65.23
