Filnummer;Posisjon ;Måling
2022-02-03 15-48-56;1;Bakgrunnsstøy
2022-02-03 15-51-42;1;Referansekilde
2022-02-03 15-54-41;1;Testkilde
2022-02-03 16-00-03;2;Testkilde
2022-02-03 16-01-01;2;Referansekilde
2022-02-03 16-03-50;2;Bakgrunnsstøy
2022-02-03 16-10-22;3;Bakgrunnsstøy
2022-02-03 16-11-33;3;Testkilde
2022-02-03 16-12-40;3;Referansekilde
2022-02-03 16-18-25;4;Bakgrunnsstøy
2022-02-03 16-19-25;4;Testkilde
2022-02-03 16-20-44;4;Referansekilde
2022-02-03 16-30-07;5;Bakgrunnsstøy
2022-02-03 16-30-54;5;Testkilde
2022-02-03 16-31-43;5;Referansekilde
;;
Metode 2;;
2022-02-03 16-40-21;1;
2022-02-03 16-43-16;2;
2022-02-03 16-45-33;3;
2022-02-03 16-46-44;4;
2022-02-03 16-47-52;5;
